Done,Song Num,Song Duration,National Anthem,Marathi ‘Bhav Geet’,Marathi Lavni,Asha Bhosale,Kishor Kumar,Michael Jackson,Song Name,Youtube link,Spotify link
,108,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
DONE,109,5:16,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
,110,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,111,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
DONE,112,3:18,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
,113,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,114,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,115,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
DONE,116,1:18,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,Total,,8,10,6,10,11,8,53,,
